Query	Passage_Scores
query_1	{'passage_172358': 0.21271175554039082, 'passage_172364': 0.19771414883820607, 'passage_172362': 0.19562610972362396, 'passage_172366': 0.170740504124418, 'passage_172367': 0.1566762829450336, 'passage_3730567': 0.0646791468283657, 'passage_4703541': 0.0615806805799022, 'passage_4703547': 0.06014627707114379}
query_10	{'passage_172358': 0.24327447602218524, 'passage_172364': 0.20376634344360284, 'passage_172362': 0.19845194097706376, 'passage_172367': 0.15294776513558928, 'passage_172366': 0.1470420742417947, 'passage_4703547': 0.07277925530831426, 'passage_4703541': 0.0704410904878461}
query_13	{'passage_172366': 0.20051913189439946, 'passage_172358': 0.18591478021847954, 'passage_172364': 0.16947121053995684, 'passage_172362': 0.15520058941418657, 'passage_172367': 0.14107968114832653, 'passage_3730567': 0.078948810840555, 'passage_4703541': 0.07204315872334466, 'passage_6800102': 0.06766420851384734}
query_20	{'passage_172364': 0.19825244201363698, 'passage_172367': 0.1822151762352561, 'passage_172362': 0.18137458649847793, 'passage_172366': 0.14028854531093893, 'passage_172358': 0.12565130830478113, 'passage_2173888': 0.05908288595333636, 'passage_232429': 0.05016906010747859, 'passage_1301088': 0.049876699083348436, 'passage_6610800': 0.048647872734186644}
query_21	{'passage_172362': 0.2162901613102796, 'passage_172364': 0.1928916529308831, 'passage_172367': 0.18024678006252356, 'passage_172358': 0.16166612111152254, 'passage_172366': 0.15794276271416902, 'passage_2173887': 0.062311519084225615, 'passage_232429': 0.05991471870448082, 'passage_3163389': 0.05902728951235145, 'passage_3163396': 0.05791068317720082}
query_22	{'passage_172364': 0.18391265857167374, 'passage_172362': 0.17883246127559796, 'passage_172367': 0.1760887765379354, 'passage_172366': 0.13695668640516265, 'passage_172358': 0.12442982694525447, 'passage_2173887': 0.06424270599048068, 'passage_2173888': 0.05673338916665643, 'passage_3163396': 0.05013040130612785, 'passage_232429': 0.05004144763436015, 'passage_1301088': 0.049818907023788626}
query_34	{'passage_172366': 0.13823914678615576, 'passage_172364': 0.13138018505186516, 'passage_172367': 0.12793225460758856, 'passage_172362': 0.10582638765468814, 'passage_172358': 0.10065305031457031, 'passage_6800102': 0.054638558131353314}
query_38	{'passage_172366': 0.1375489117345339, 'passage_172364': 0.13691645872560876, 'passage_172367': 0.12391278399733262, 'passage_172362': 0.10661801264277013, 'passage_172358': 0.09458924675348906, 'passage_6800102': 0.05234492771957055}
query_43	{'passage_172364': 0.17388080117299642, 'passage_172366': 0.16661359567317388, 'passage_172367': 0.16274549835343277, 'passage_172362': 0.14561031641283795, 'passage_172358': 0.1328529098456818, 'passage_3730567': 0.06280923895180444, 'passage_6800102': 0.05825322544141562, 'passage_5055636': 0.051074856623100434, 'passage_4703541': 0.04865633788358833, 'passage_1301088': 0.0484371568682518, 'passage_4175404': 0.047036080448820385}
query_49	{'passage_172358': 0.17138613133458172, 'passage_172362': 0.129689958935604, 'passage_172367': 0.125664122990701, 'passage_172364': 0.10840988848665223, 'passage_172366': 0.10590679744987125, 'passage_428249': 0.07358731714142577, 'passage_6779130': 0.06508430677120414, 'passage_6779124': 0.06079564923344192}
query_52	{'passage_172364': 0.1704280424131566, 'passage_172367': 0.160644861530497, 'passage_172362': 0.15726589250288184, 'passage_172358': 0.1357128273440161, 'passage_172366': 0.12836634235636568, 'passage_2173888': 0.05419169932971385, 'passage_1301088': 0.046488309910919755, 'passage_6610800': 0.04287570667025846, 'passage_4703543': 0.039743531236277475}
query_53	{'passage_172358': 0.1889759238156645, 'passage_172362': 0.17133632563083936, 'passage_172364': 0.14486785649769796, 'passage_172367': 0.1427904362602693, 'passage_172366': 0.122633956029868, 'passage_428249': 0.06623716175101972, 'passage_2173887': 0.06267390223928242, 'passage_6779124': 0.0582090713824623, 'passage_6779130': 0.05686769308207986}
query_57	{'passage_172358': 0.13831814162631917, 'passage_172362': 0.0931212412763315, 'passage_172367': 0.08867778780364251, 'passage_428249': 0.0821894143250052, 'passage_172366': 0.08207515409512325, 'passage_6779130': 0.07827733953658397, 'passage_172364': 0.0757338901763101, 'passage_6779126': 0.06685733493459838}
query_60	{'passage_172367': 0.17623626617549354, 'passage_172366': 0.14964878254419342, 'passage_172362': 0.14600454145600508, 'passage_172364': 0.1450732556254362, 'passage_172358': 0.13384254911428195, 'passage_6800102': 0.0641278486316199, 'passage_5055636': 0.056849225200971396, 'passage_3730567': 0.055599647917839355, 'passage_1301088': 0.053266890600538026}
query_68	{'passage_172366': 0.20311525413562237, 'passage_172364': 0.18709518615046705, 'passage_172367': 0.17749075876139683, 'passage_172362': 0.16349951223897458, 'passage_172358': 0.12468649296279971, 'passage_6800102': 0.06300101250543678}
query_70	{'passage_172366': 0.17128667477605386, 'passage_172364': 0.1642234103163666, 'passage_172362': 0.15657691084809217, 'passage_172367': 0.15457915096392863, 'passage_172358': 0.11826694245729143, 'passage_6800102': 0.06024209765055219}
query_72	{'passage_172366': 0.2745337959301725, 'passage_172364': 0.20990989138023386, 'passage_172367': 0.2013431117590979, 'passage_172362': 0.18355917407816327, 'passage_172358': 0.17773904016748926, 'passage_3730567': 0.08238147786244608, 'passage_6800102': 0.07559678379154672}
query_75	{'passage_172366': 0.21456005174748236, 'passage_172367': 0.17837317758062907, 'passage_172364': 0.15482344538297912, 'passage_172362': 0.14726264412654708, 'passage_172358': 0.1423401922737134, 'passage_3730567': 0.0787501998591104, 'passage_6800102': 0.07711187573740139}
query_79	{'passage_172367': 0.25556481909424883, 'passage_172364': 0.16488945695656895, 'passage_172362': 0.1488715791167972, 'passage_172366': 0.1322107310088501, 'passage_172358': 0.11508296291736246, 'passage_4175404': 0.05318494633473642, 'passage_4703543': 0.05259952754374375, 'passage_6610800': 0.052144362926375344, 'passage_232429': 0.04370116586985757}
