Query	Passage_Scores
query_9	{'passage_172366': 0.2541248981777114, 'passage_172358': 0.24008051095051994, 'passage_172362': 0.23265763958830254, 'passage_172367': 0.18211917334639555, 'passage_172364': 0.17480188052464884, 'passage_4703547': 0.08137520570600791, 'passage_4175404': 0.07627458430782325, 'passage_4175403': 0.0757418333266334, 'passage_4703543': 0.07178276501441339, 'passage_4703539': 0.0641608367712252, 'passage_2173888': 0.05913943441520036, 'passage_1037776': 0.05477085659603133, 'passage_881362': 0.052485053477565526, 'passage_3163395': 0.05136246388459897, 'passage_1513887': 0.05076970198319943, 'passage_2173889': 0.04972944117397246}
query_14	{'passage_172362': 0.2464332922738706, 'passage_172367': 0.23711202425883157, 'passage_172358': 0.2215284715321604, 'passage_172366': 0.1892183493310511, 'passage_172364': 0.12565663865570437, 'passage_4703547': 0.07820218269465257, 'passage_4175404': 0.07365280623353078, 'passage_3302762': 0.07194127821189134, 'passage_4175409': 0.07096420265539077, 'passage_3302763': 0.0684821178248672, 'passage_3309549': 0.06715985820719027, 'passage_3309551': 0.06698656902794677, 'passage_4175406': 0.06021429797496282, 'passage_3163395': 0.05138603853316395, 'passage_2173888': 0.04978010514105533, 'passage_1880126': 0.04646674901200621}
query_15	{'passage_172362': 0.22697879882953567, 'passage_172367': 0.19503961933769012, 'passage_172366': 0.18107562693390267, 'passage_172358': 0.18056136477117682, 'passage_172364': 0.10826154877920896, 'passage_3302762': 0.08308811503037673, 'passage_3302763': 0.07863728057252062, 'passage_3309549': 0.07665900058527242, 'passage_3309551': 0.0763054397738283, 'passage_4175404': 0.06951452940132863, 'passage_4703547': 0.06710889406028094, 'passage_4175409': 0.06507725012297756, 'passage_4175406': 0.055043278673516015, 'passage_1880126': 0.05100881656187616, 'passage_3163393': 0.05056466290869195, 'passage_1880123': 0.050321148992941364}
query_27	{'passage_172358': 0.2589754674596754, 'passage_172366': 0.25681148598411485, 'passage_172364': 0.23411462630434102, 'passage_172362': 0.20047188249428788, 'passage_172367': 0.18962503436895223, 'passage_4703547': 0.07623743990475404, 'passage_4175404': 0.06882515411042676, 'passage_4703543': 0.06815665755692586, 'passage_881362': 0.06384960424840663, 'passage_2173888': 0.06065042621326785, 'passage_4703539': 0.06027176601102715, 'passage_3302762': 0.049085411035760064, 'passage_2173889': 0.04801751273251774, 'passage_1513887': 0.04570888536170918, 'passage_3163395': 0.045685361900398375, 'passage_2146624': 0.04344992511302541}
query_29	{'passage_172367': 0.2077187527085307, 'passage_172362': 0.20353352057705376, 'passage_172358': 0.12814330085996217, 'passage_172366': 0.12548370100046652, 'passage_172364': 0.09846529229317746, 'passage_1037776': 0.07619869259642922, 'passage_4175404': 0.0752880627650188, 'passage_4703547': 0.07218047927835995, 'passage_3163395': 0.07087501965570837, 'passage_4175409': 0.06949979943136411, 'passage_3163393': 0.06770114174713557, 'passage_4175406': 0.06636383071547444, 'passage_3163397': 0.0646510244476119, 'passage_2173888': 0.06173562440986054, 'passage_2173887': 0.05999493526893181}
query_36	{'passage_172358': 0.28991395134194803, 'passage_172366': 0.2820314664067024, 'passage_172364': 0.25891802695762434, 'passage_172367': 0.22022425747570476, 'passage_172362': 0.21627481509652138, 'passage_3302762': 0.06315141442795204, 'passage_4703547': 0.058191155937164445, 'passage_4175403': 0.05725814052034788, 'passage_4175404': 0.05429563599027994, 'passage_881362': 0.053521511226854765, 'passage_4703543': 0.05210693545695051, 'passage_2173888': 0.04940280413965009, 'passage_4703539': 0.04764757978062517, 'passage_3163395': 0.03950715225275322, 'passage_2173889': 0.03854910295954694, 'passage_2146624': 0.03812742151429253, 'passage_1037776': 0.036662383811622665}
query_41	{'passage_172358': 0.29722723520636973, 'passage_172366': 0.29501572098702644, 'passage_172364': 0.23027826617503255, 'passage_172362': 0.22417066601439334, 'passage_172367': 0.17331488077978377, 'passage_4703547': 0.08268920990830357, 'passage_4703543': 0.07398187747685857, 'passage_4175404': 0.06636981644397665, 'passage_4703539': 0.0653308081767618, 'passage_3302762': 0.06464557985947644, 'passage_2173888': 0.06372024772911265, 'passage_881362': 0.05630991590270925, 'passage_2173889': 0.05118764298044094, 'passage_3163395': 0.047069643387023574, 'passage_1513887': 0.046403890543760276, 'passage_1037776': 0.0455598110668047, 'passage_2146624': 0.03940070479346454}
query_45	{'passage_172362': 0.2576302851331454, 'passage_172367': 0.18090352732175202, 'passage_172366': 0.16704547207752388, 'passage_172358': 0.15161297060013523, 'passage_172364': 0.10273748862643436, 'passage_3302762': 0.08493807542982647, 'passage_4175404': 0.08167742442381902, 'passage_3302763': 0.0802915862595951, 'passage_4703547': 0.0800282875802951, 'passage_1037776': 0.07908461870152496, 'passage_3309549': 0.07773316423686213, 'passage_3309551': 0.07765790369211349, 'passage_4175409': 0.07223435493329065, 'passage_3163395': 0.06686518372945793, 'passage_3163397': 0.06528970275329721, 'passage_4175406': 0.06483280716108025}
query_47	{'passage_172362': 0.21801049945868275, 'passage_172358': 0.1908968204738395, 'passage_172367': 0.1903653605905614, 'passage_172366': 0.1875854448902463, 'passage_172364': 0.11964604224226585, 'passage_3302762': 0.08339000950446458, 'passage_3302763': 0.07844146423610869, 'passage_3309549': 0.07634337861619676, 'passage_3309551': 0.07599350408953227, 'passage_4703547': 0.06327775532827662, 'passage_4175404': 0.06213127597043386, 'passage_4175409': 0.05689588974708587, 'passage_881362': 0.04955558689165827, 'passage_2173888': 0.048672386860520354, 'passage_4175406': 0.04860562718032856, 'passage_1880126': 0.04843587706877855}
query_56	{'passage_172358': 0.22809076196279343, 'passage_172367': 0.2198126455263895, 'passage_172362': 0.19517639331518447, 'passage_172366': 0.16793104961372837, 'passage_172364': 0.1637843516805516, 'passage_4703547': 0.06685595806824682, 'passage_4175404': 0.0647096137404344, 'passage_2173888': 0.061101981922811965, 'passage_1037776': 0.05049685593518505, 'passage_3163395': 0.05041651068157001, 'passage_881362': 0.050295805194854465, 'passage_3302762': 0.04932956639646628, 'passage_334574': 0.04167369457547189, 'passage_288134': 0.038643921829416936, 'passage_554479': 0.03755410658363775}
query_59	{'passage_172358': 0.21023142321561722, 'passage_172367': 0.2076731498737393, 'passage_172362': 0.20653310313014017, 'passage_172366': 0.1841733735002208, 'passage_172364': 0.16359099658363171, 'passage_4703547': 0.07394728141417156, 'passage_4175404': 0.07159624148170099, 'passage_2173888': 0.06991136334523813, 'passage_3163395': 0.056788449245607976, 'passage_881362': 0.05419851707598194, 'passage_3302762': 0.05089359471281951, 'passage_1037776': 0.04947554532622905, 'passage_334574': 0.043333132213072056, 'passage_288134': 0.03909223996276529, 'passage_554479': 0.038093322710361484}
query_63	{'passage_172362': 0.19951727355494434, 'passage_172358': 0.19011511144237775, 'passage_172367': 0.1848537724547413, 'passage_172366': 0.17804196218980486, 'passage_172364': 0.11602806246829357, 'passage_3302762': 0.0723919122398907, 'passage_3302763': 0.06879824056760568, 'passage_3309549': 0.0675730094830021, 'passage_3309551': 0.06722489093043979, 'passage_4703547': 0.06651670145543043, 'passage_4175404': 0.06261719344905863, 'passage_4175409': 0.05882193889414696, 'passage_881362': 0.05339336175599505, 'passage_2173888': 0.05103548034833439, 'passage_4175406': 0.05037838947024198, 'passage_3163395': 0.04758146663313474, 'passage_1880126': 0.04529128717331016}
query_65	{'passage_172358': 0.36424274337339496, 'passage_172366': 0.2975465327027752, 'passage_172364': 0.2841475708910489, 'passage_172362': 0.2090630278408069, 'passage_172367': 0.18263626836066732, 'passage_4703547': 0.08569678449169311, 'passage_4703543': 0.07514685001798828, 'passage_4703539': 0.06691826792016511, 'passage_881362': 0.06602738819878347, 'passage_2173888': 0.0637519029906292, 'passage_4175404': 0.06374838763123813, 'passage_3302762': 0.05519428189427809, 'passage_2146624': 0.049777311923178295, 'passage_2173889': 0.04887666855922813}
query_85	{'passage_172366': 0.31969396960620555, 'passage_172364': 0.2698646938890761, 'passage_172358': 0.2640894811157802, 'passage_172362': 0.2122016945313385, 'passage_172367': 0.17668184371618234, 'passage_4703547': 0.0661612611290429, 'passage_2173888': 0.06052258168118204, 'passage_4175403': 0.06029418207838198, 'passage_4703543': 0.06021586785518063, 'passage_4175404': 0.05907108341404535, 'passage_4703539': 0.054992973888508434, 'passage_2173889': 0.04789315097420353}
query_105	{'passage_172358': 0.2259243211101229, 'passage_172366': 0.2143038307176167, 'passage_172362': 0.19624345933787254, 'passage_172364': 0.18887540544961964, 'passage_172367': 0.18709854120175343, 'passage_4703547': 0.0836443678445609, 'passage_4175403': 0.0784982490520396, 'passage_4703543': 0.07346332655125772, 'passage_4175404': 0.0719763393767244, 'passage_4703539': 0.06559113754570077, 'passage_2173888': 0.06197782223265063, 'passage_881362': 0.058808980399567785, 'passage_2173889': 0.05093031799521108, 'passage_3302762': 0.05001266800117398, 'passage_3163395': 0.049569042944244614, 'passage_1037776': 0.04572280531624833, 'passage_334574': 0.042340235440500876, 'passage_2146624': 0.03948072508687395}
query_109	{'passage_172367': 0.2077187527085307, 'passage_172362': 0.20353352057705376, 'passage_172358': 0.12814330085996217, 'passage_172366': 0.12548370100046652, 'passage_172364': 0.09846529229317746, 'passage_1037776': 0.07619869259642922, 'passage_4175404': 0.0752880627650188, 'passage_4703547': 0.07218047927835995, 'passage_3163395': 0.07087501965570837, 'passage_4175409': 0.06949979943136411, 'passage_3163393': 0.06770114174713557, 'passage_4175406': 0.06636383071547444, 'passage_3163397': 0.0646510244476119, 'passage_2173888': 0.06173562440986054, 'passage_2173887': 0.05999493526893181}
query_125	{'passage_172362': 0.2576302851331454, 'passage_172367': 0.18090352732175202, 'passage_172366': 0.16704547207752388, 'passage_172358': 0.15161297060013523, 'passage_172364': 0.10273748862643436, 'passage_3302762': 0.08493807542982647, 'passage_4175404': 0.08167742442381902, 'passage_3302763': 0.0802915862595951, 'passage_4703547': 0.0800282875802951, 'passage_1037776': 0.07908461870152496, 'passage_3309549': 0.07773316423686213, 'passage_3309551': 0.07765790369211349, 'passage_4175409': 0.07223435493329065, 'passage_3163395': 0.06686518372945793, 'passage_3163397': 0.06528970275329721, 'passage_4175406': 0.06483280716108025}
query_133	{'passage_172364': 0.28364256396797577, 'passage_172358': 0.2746133871622235, 'passage_172366': 0.2519809317574141, 'passage_172367': 0.2218879507423997, 'passage_172362': 0.20758434663822503, 'passage_2173888': 0.07332750065354372, 'passage_4175404': 0.05946159654341646, 'passage_3163395': 0.05063405075143532, 'passage_881362': 0.04987007610652691, 'passage_881363': 0.04864037620054381, 'passage_1037776': 0.04498961044665095, 'passage_334574': 0.03688144261590756, 'passage_2146624': 0.036332089410512844}
query_140	{'passage_172367': 0.2321237026186461, 'passage_172358': 0.22903616396049814, 'passage_172362': 0.22060942270975717, 'passage_172366': 0.16799440985627867, 'passage_172364': 0.12314199419799284, 'passage_4175404': 0.07292502820631151, 'passage_881362': 0.060120964816043676, 'passage_2173888': 0.055574676825896, 'passage_3163395': 0.05532962138718655, 'passage_3163393': 0.055273197427984366, 'passage_2173887': 0.05004759068493654, 'passage_1037776': 0.037814604804906955, 'passage_334574': 0.03773516462208954, 'passage_3796700': 0.03607277330712527}
