Query	Passage_Scores
query_3	{'passage_172362': 0.31766739655200643, 'passage_172358': 0.2856814168445529, 'passage_172367': 0.2543150848867161, 'passage_172364': 0.16682848463894157, 'passage_172366': 0.15962045810455056, 'passage_5383218': 0.051373787889213644, 'passage_2173887': 0.051244077911267165, 'passage_2173888': 0.0495771519627921, 'passage_3730567': 0.04873653927647478, 'passage_6855087': 0.047593241040006236, 'passage_3309550': 0.04624040906066026, 'passage_4175409': 0.045849858780948397, 'passage_3309554': 0.04576305020687301, 'passage_3302770': 0.04493496066034915, 'passage_3309551': 0.04461851614435855, 'passage_3302763': 0.044595778876480384, 'passage_3309549': 0.04452560335795581}
query_6	{'passage_172367': 0.44853148113296387, 'passage_172358': 0.3977934966265908, 'passage_172362': 0.35462837644164763, 'passage_172366': 0.23611508605301956, 'passage_172364': 0.2285746422521858, 'passage_3730567': 0.06388440058038365, 'passage_2173887': 0.05553328853258316, 'passage_5383218': 0.05493009113398826, 'passage_4175409': 0.05458340343080446, 'passage_2173888': 0.052652668613651005, 'passage_3309550': 0.047672339951208696, 'passage_3309554': 0.04730112614760189, 'passage_3302770': 0.04627835562837187, 'passage_1406119': 0.04626853342739707, 'passage_3309551': 0.04576383713252636, 'passage_3302763': 0.04570732726899279, 'passage_3309549': 0.04530816827199743}
query_8	{'passage_172358': 0.35209953289526286, 'passage_172364': 0.29170177628752686, 'passage_172367': 0.2809718912366247, 'passage_172362': 0.24698914721924464, 'passage_172366': 0.19972959882699856, 'passage_3730567': 0.07558174443002534, 'passage_4175409': 0.06749270635528783, 'passage_5383218': 0.0531001774001931, 'passage_4175406': 0.05089456797728598, 'passage_1406119': 0.05006611016608339, 'passage_2044460': 0.04964606836125317, 'passage_4175403': 0.04942302039673257, 'passage_2173887': 0.04874629524552758, 'passage_147333': 0.04740675155003599, 'passage_881358': 0.047196539691168896, 'passage_881362': 0.04659539650191213}
query_16	{'passage_172358': 0.5072469435564748, 'passage_172367': 0.37538612103038405, 'passage_172364': 0.2905455139589148, 'passage_172362': 0.26901798100742796, 'passage_172366': 0.18696584974436964, 'passage_3730567': 0.07382097405101642, 'passage_4175409': 0.0544974071271338, 'passage_5383218': 0.051071572946275116, 'passage_2173887': 0.05078819896384785, 'passage_1406119': 0.049102838849116245, 'passage_2173888': 0.04839154203686895, 'passage_4175403': 0.04571190621233477, 'passage_334574': 0.04487201980888465, 'passage_881362': 0.04293808371516764}
query_17	{'passage_172364': 0.23520465802765186, 'passage_172367': 0.2257629253661132, 'passage_172358': 0.22313104317661742, 'passage_172366': 0.1691024142595469, 'passage_172362': 0.1513682058633467, 'passage_3730567': 0.08405265891449225, 'passage_4175409': 0.06258753262757931, 'passage_4703543': 0.05518053752431578, 'passage_4175406': 0.050630852845050194, 'passage_1301088': 0.04979333819348464, 'passage_4703547': 0.049394877698395005, 'passage_16521': 0.048531789510187544, 'passage_3008370': 0.04650670171105798, 'passage_1513883': 0.04451687387567785, 'passage_2044460': 0.0440475842398376, 'passage_881362': 0.04289905048617106, 'passage_4175404': 0.04245722415536413, 'passage_881358': 0.04209798753507538}
query_24	{'passage_172364': 0.3219092978956236, 'passage_172358': 0.2942700085079362, 'passage_172367': 0.2582669926881841, 'passage_172362': 0.20258329555418908, 'passage_172366': 0.17834341601841394, 'passage_3730567': 0.09020969286065976, 'passage_4175409': 0.07045562570920001, 'passage_5383218': 0.05134796135437132, 'passage_881358': 0.05052846485685637, 'passage_881362': 0.0497002747914534, 'passage_2044460': 0.04916739400134893, 'passage_16521': 0.04774930159241742, 'passage_147333': 0.04735413229358146, 'passage_1513883': 0.045006499177915424, 'passage_2629981': 0.04439845574662564, 'passage_2629972': 0.043339504716184855, 'passage_4950842': 0.04316046196971401}
query_32	{'passage_172367': 0.5313927203930523, 'passage_172358': 0.49707742242380876, 'passage_172362': 0.47066353789283855, 'passage_172364': 0.2490586750727302, 'passage_172366': 0.22440358124398013, 'passage_3730567': 0.06289184974909878, 'passage_2173887': 0.058103012357123195, 'passage_5383218': 0.05796883520216335, 'passage_2173888': 0.055312197179994575, 'passage_4175409': 0.053359871051187474, 'passage_3309550': 0.048208817089163955, 'passage_3309554': 0.04777890445877238, 'passage_3302770': 0.04678551691197017, 'passage_1406119': 0.046367685677353825, 'passage_3302763': 0.04626256454677665, 'passage_3309551': 0.04623752184279114}
query_61	{'passage_172367': 0.27518772615529324, 'passage_172364': 0.26161522650579594, 'passage_172366': 0.24725690871817074, 'passage_172362': 0.22866658331032128, 'passage_172358': 0.1937960913499447, 'passage_4175409': 0.0832447226919314, 'passage_3730567': 0.07919316285268971, 'passage_5383218': 0.05867307627184759, 'passage_3163393': 0.055932322364743776, 'passage_3309554': 0.05433148310224373, 'passage_3309550': 0.05417041122013395, 'passage_4703547': 0.05390258285660614, 'passage_16521': 0.05325417581736614, 'passage_4175404': 0.05325346180534077, 'passage_6610801': 0.05244654790906272, 'passage_3309551': 0.05101730424089245, 'passage_2044460': 0.050879730972075904, 'passage_6610805': 0.04968554668799354, 'passage_881362': 0.049559465533312565, 'passage_881358': 0.04856443108699913}
query_67	{'passage_172358': 0.33510899989233595, 'passage_172362': 0.3318275854693322, 'passage_172367': 0.328625414130593, 'passage_172364': 0.23964477088871353, 'passage_172366': 0.19370401360298203, 'passage_3730567': 0.06413311221598929, 'passage_4175409': 0.05358108808704679, 'passage_5383218': 0.04728065956498555, 'passage_1406119': 0.046414916710687794, 'passage_2173887': 0.044798894244035964, 'passage_4175403': 0.04300776429544209, 'passage_2173888': 0.042866336301138834, 'passage_6855087': 0.042431930517985175, 'passage_881362': 0.04213992108071531}
query_71	{'passage_172362': 0.5190302235631836, 'passage_172367': 0.432572113660415, 'passage_172358': 0.2610263178667578, 'passage_172366': 0.21804440916667614, 'passage_172364': 0.19125182525089982, 'passage_3730567': 0.05977207427282435, 'passage_5383218': 0.057170803726712946, 'passage_2173887': 0.05400633586917427, 'passage_4175409': 0.0533417276636484, 'passage_3309550': 0.052402624886121976, 'passage_3309554': 0.05201711057562204, 'passage_2173888': 0.05137596770393989, 'passage_3302770': 0.05052260241719149, 'passage_3309551': 0.05020759106486262, 'passage_3302763': 0.04993482988613396, 'passage_3309549': 0.04967956279979252}
query_77	{'passage_172364': 0.2980207851056405, 'passage_172367': 0.2856532246033177, 'passage_172366': 0.26380033629234184, 'passage_172362': 0.20332618297289365, 'passage_172358': 0.1835528119499941, 'passage_3730567': 0.09886901478216387, 'passage_4175409': 0.09639647639178434, 'passage_4175403': 0.07194443231789331, 'passage_4175406': 0.06934175733911546, 'passage_4175404': 0.05958940900100928, 'passage_881362': 0.05951009009904458, 'passage_881358': 0.05813681814441609, 'passage_881364': 0.05799657565353483, 'passage_3163393': 0.05768911249268601, 'passage_4703547': 0.05716924522656701}
query_78	{'passage_172367': 0.34509457765653734, 'passage_172358': 0.29516322763296005, 'passage_172364': 0.2902110747688939, 'passage_172362': 0.22134123696147778, 'passage_172366': 0.2112163781199164, 'passage_3730567': 0.08922632554300639, 'passage_3730565': 0.07697610161953648, 'passage_4175409': 0.0672494314470749, 'passage_1406119': 0.06714057153324428, 'passage_4175403': 0.0568293463326841, 'passage_1406125': 0.05668152405655293, 'passage_881362': 0.05636430211811735, 'passage_3730566': 0.054168961639128495, 'passage_881364': 0.05057590615697215, 'passage_4175406': 0.04839183236222515, 'passage_334574': 0.04777788996553412, 'passage_2016868': 0.045612622951677166, 'passage_2016864': 0.04483922337136513}
query_80	{'passage_172358': 0.47550245800237895, 'passage_172367': 0.338249995127527, 'passage_172362': 0.3070980487516818, 'passage_172364': 0.1936458120774423, 'passage_172366': 0.1848703774945487, 'passage_2173887': 0.06122174924313591, 'passage_2173888': 0.05879541440996944, 'passage_5383218': 0.05778674670029938, 'passage_3730567': 0.056118117262102966, 'passage_4175409': 0.047779213604761256, 'passage_6855087': 0.04587690776578697, 'passage_3309550': 0.045511043948645136, 'passage_3309554': 0.04500073557899897, 'passage_3302770': 0.04448202411473644, 'passage_3302763': 0.044060521699013575, 'passage_3309551': 0.043901694794677454, 'passage_3309549': 0.04367095286878447}
query_89	{'passage_172364': 0.22962197890438812, 'passage_172358': 0.18408429656314398, 'passage_172367': 0.16950316699366144, 'passage_172366': 0.16514392739656264, 'passage_172362': 0.13443942181507504, 'passage_3730567': 0.08204076014655431, 'passage_4175409': 0.0768119343483536, 'passage_2044460': 0.05721347728186698, 'passage_4703543': 0.053242456542334164, 'passage_147333': 0.052379929523008815, 'passage_16521': 0.050794142890824415, 'passage_2629981': 0.04826716186133908, 'passage_6936661': 0.04645261118076464}
query_94	{'passage_172367': 0.41406932011796344, 'passage_172358': 0.35347017822213833, 'passage_172362': 0.33387967595478024, 'passage_172366': 0.24176900749348598, 'passage_172364': 0.23984618927776602, 'passage_3730567': 0.06813971208646223, 'passage_4175409': 0.060692257163271784, 'passage_1406119': 0.05457165422943526, 'passage_2173887': 0.04796235376543319, 'passage_5383218': 0.04788540849662536, 'passage_881362': 0.04725326345872114, 'passage_4175403': 0.04699804437543068, 'passage_3309550': 0.04640959194613319, 'passage_3309554': 0.04612641830992529, 'passage_3302770': 0.045131023272434616}
query_96	{'passage_172358': 0.5072469435564748, 'passage_172367': 0.37538612103038405, 'passage_172364': 0.2905455139589148, 'passage_172362': 0.26901798100742796, 'passage_172366': 0.18696584974436964, 'passage_3730567': 0.07382097405101642, 'passage_4175409': 0.0544974071271338, 'passage_5383218': 0.051071572946275116, 'passage_2173887': 0.05078819896384785, 'passage_1406119': 0.049102838849116245, 'passage_2173888': 0.04839154203686895, 'passage_4175403': 0.04571190621233477, 'passage_334574': 0.04487201980888465, 'passage_881362': 0.04293808371516764}
query_97	{'passage_172364': 0.23520465802765186, 'passage_172367': 0.2257629253661132, 'passage_172358': 0.22313104317661742, 'passage_172366': 0.1691024142595469, 'passage_172362': 0.1513682058633467, 'passage_3730567': 0.08405265891449225, 'passage_4175409': 0.06258753262757931, 'passage_4703543': 0.05518053752431578, 'passage_4175406': 0.050630852845050194, 'passage_1301088': 0.04979333819348464, 'passage_4703547': 0.049394877698395005, 'passage_16521': 0.048531789510187544, 'passage_3008370': 0.04650670171105798, 'passage_1513883': 0.04451687387567785, 'passage_2044460': 0.0440475842398376, 'passage_881362': 0.04289905048617106, 'passage_4175404': 0.04245722415536413, 'passage_881358': 0.04209798753507538}
query_98	{'passage_172358': 0.39849521463488646, 'passage_172367': 0.2706623007754461, 'passage_172364': 0.24752744256952128, 'passage_172362': 0.20555726972774654, 'passage_172366': 0.1610858844043433, 'passage_3730567': 0.07182677281449124, 'passage_3730565': 0.05865757779374957, 'passage_4175409': 0.05093397938358429, 'passage_1406119': 0.048066751877909965, 'passage_3730566': 0.04568567639580191, 'passage_4175403': 0.04495688481842762, 'passage_2173887': 0.04332114094262839, 'passage_5383218': 0.043262315661829816, 'passage_1406125': 0.04235386229758316, 'passage_881362': 0.0423409500852977, 'passage_2173888': 0.04142534906797399}
query_99	{'passage_172358': 0.3599530222826222, 'passage_172367': 0.3550899778428268, 'passage_172362': 0.33126302357014226, 'passage_172364': 0.26072613859918253, 'passage_172366': 0.18012672028066526, 'passage_3730567': 0.06607267530080062, 'passage_4175409': 0.052971118306444166, 'passage_5383218': 0.04791898608442806, 'passage_1406119': 0.04623654728425798, 'passage_2173887': 0.04560085612727514, 'passage_2173888': 0.043617850298508475, 'passage_4175403': 0.043594642199543794, 'passage_881362': 0.04207572664372072}
query_102	{'passage_172367': 0.47709354814700294, 'passage_172358': 0.37364149411493464, 'passage_172364': 0.3186235244913329, 'passage_172362': 0.28368194908583466, 'passage_172366': 0.21354945913911227, 'passage_3730567': 0.08571754155794654, 'passage_3730565': 0.06896015621205345, 'passage_4175409': 0.060382212138903955, 'passage_1406119': 0.05518277356789566, 'passage_4175403': 0.05315276726372888, 'passage_5383218': 0.05159524781174746, 'passage_3730566': 0.05014851205047714, 'passage_881362': 0.04926260840856449, 'passage_1406125': 0.04903940246456831, 'passage_2173887': 0.048924650205879175, 'passage_4175406': 0.047033590895938275, 'passage_2173888': 0.04654579338872998}
query_108	{'passage_172367': 0.3904247314337304, 'passage_172358': 0.3216960512217972, 'passage_172362': 0.24033198012620208, 'passage_172364': 0.23318348548029078, 'passage_172366': 0.19055357112129426, 'passage_3730567': 0.07747969897633399, 'passage_3730565': 0.06852885198201285, 'passage_1406119': 0.059302955450607944, 'passage_881363': 0.05893066770987501, 'passage_3730562': 0.05802881252042911, 'passage_1406122': 0.055557427642913645, 'passage_1301088': 0.05468768009210521, 'passage_1406125': 0.04881875099859629, 'passage_4175403': 0.0482591514050885}
query_117	{'passage_172367': 0.32280200761878125, 'passage_172366': 0.2541922622631508, 'passage_172362': 0.23434599516508303, 'passage_172358': 0.22794097262352056, 'passage_172364': 0.21555561466752696, 'passage_5383218': 0.07543485382388507, 'passage_3730567': 0.07159469673154654, 'passage_4703543': 0.06217201229753362, 'passage_1301088': 0.061575415399011686, 'passage_3730565': 0.05769662917305955, 'passage_4703547': 0.056945785238782846, 'passage_6610801': 0.056523558774781546, 'passage_3309550': 0.05574393056875252, 'passage_3309554': 0.05548452710035226, 'passage_16521': 0.054360398924203454, 'passage_3008370': 0.054202898817483615, 'passage_3302762': 0.053972055359291754}
