Query	Passage_Scores
query_2	{'passage_172358': 0.2692663991105875, 'passage_172367': 0.263240181403893, 'passage_172362': 0.17602207524728636, 'passage_172366': 0.16941732416973804, 'passage_172364': 0.12585203512271928, 'passage_5383221': 0.12064133507356038, 'passage_4703546': 0.0685340386497516, 'passage_796284': 0.06622613007982224, 'passage_796290': 0.06578764596496026}
query_12	{'passage_172367': 0.31151372731195964, 'passage_172358': 0.2890900670012766, 'passage_172366': 0.22718248912035766, 'passage_172362': 0.1055453652525278, 'passage_5383221': 0.09220371031292272, 'passage_172364': 0.09043636414252967, 'passage_2509348': 0.08254218102856463}
query_23	{'passage_172367': 0.2903266220725466, 'passage_172358': 0.24375318756416653, 'passage_172366': 0.15980481600688254, 'passage_172362': 0.14987989392143355, 'passage_172364': 0.12103641678216341, 'passage_5383221': 0.11071254432498218, 'passage_796286': 0.0600230755791198, 'passage_4703546': 0.05828273542817036, 'passage_6368191': 0.058239086527342054, 'passage_6368199': 0.05802714266720424}
query_26	{'passage_172358': 0.1696199453781091, 'passage_172362': 0.16571473857826355, 'passage_172367': 0.14232224427075918, 'passage_5383221': 0.13612918208029237, 'passage_172364': 0.11957096234644293, 'passage_172366': 0.1070981795842154, 'passage_4703546': 0.07832775454435131, 'passage_4703543': 0.07513026112276959, 'passage_4703539': 0.07502766019042749, 'passage_4703547': 0.07351279530655111, 'passage_3163395': 0.07176161130779411}
query_30	{'passage_172367': 0.3908801610787184, 'passage_172358': 0.24551714895349763, 'passage_172366': 0.15234863964272524, 'passage_172364': 0.12423942191561117, 'passage_172362': 0.1165062696471704, 'passage_796286': 0.05882139774296589, 'passage_796290': 0.05777843605740236, 'passage_796284': 0.05762862507459698}
query_33	{'passage_172358': 0.30172042260633547, 'passage_172367': 0.1897590560041853, 'passage_172362': 0.1750413032172473, 'passage_5383221': 0.16597126551965644, 'passage_172366': 0.14342554713524744, 'passage_172364': 0.10143913168337317, 'passage_4703541': 0.08589746886738818, 'passage_4703546': 0.08317383911996366, 'passage_2173891': 0.07998817923072482}
query_42	{'passage_172358': 0.2432046505766574, 'passage_172362': 0.1916146829982806, 'passage_172367': 0.18310320052162773, 'passage_172366': 0.15727767499624193, 'passage_5383221': 0.14118589574368584, 'passage_172364': 0.11533672581822761, 'passage_4703546': 0.086997298252147, 'passage_4703543': 0.08244056060813647, 'passage_4703539': 0.07746226453243184, 'passage_4703547': 0.0750903883765254, 'passage_3163395': 0.07303342925941174}
query_46	{'passage_172358': 0.3026253842685526, 'passage_172367': 0.2974974643798287, 'passage_172366': 0.19560009102997453, 'passage_172362': 0.14331631929268537, 'passage_5383221': 0.10748322162318505, 'passage_172364': 0.10471440304285878, 'passage_796290': 0.0798144085976463, 'passage_796284': 0.07815184760518296, 'passage_2509348': 0.07726677734890779}
query_48	{'passage_172362': 0.25323127208143864, 'passage_172358': 0.17556308801475876, 'passage_5383221': 0.17479847118963376, 'passage_172367': 0.1489511671390541, 'passage_172364': 0.13266299410516633, 'passage_172366': 0.11103062517132006, 'passage_2173887': 0.08838273177227313, 'passage_2173891': 0.08821002238088263}
query_51	{'passage_172362': 0.22046002473111626, 'passage_5383221': 0.19085915520591268, 'passage_172358': 0.17021638556428043, 'passage_172367': 0.1327287702663565, 'passage_172364': 0.11927132491509827, 'passage_172366': 0.10102414778015584, 'passage_2173891': 0.0957348797009394, 'passage_2173887': 0.09143855337724505}
